"filename", "language", "JavaScript", "JSON", "CSS", "XML", "Markdown", "HTTP", "HTML", "comment", "blank", "total"
"d:\GitHub\ThaiEggHead\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"d:\GitHub\ThaiEggHead\client\package-lock.json", "JSON", 0, 51689, 0, 0, 0, 0, 0, 0, 1, 51690
"d:\GitHub\ThaiEggHead\client\package.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"d:\GitHub\ThaiEggHead\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 25, 2, 61
"d:\GitHub\ThaiEggHead\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\GitHub\ThaiEggHead\client\src\App.css", "CSS", 0, 0, 214, 0, 0, 0, 0, 6, 26, 246
"d:\GitHub\ThaiEggHead\client\src\App.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 14, 11, 106
"d:\GitHub\ThaiEggHead\client\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\GitHub\ThaiEggHead\client\src\auth\Auth.js", "JavaScript", 504, 0, 0, 0, 0, 0, 0, 22, 66, 592
"d:\GitHub\ThaiEggHead\client\src\auth\Input.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\GitHub\ThaiEggHead\client\src\auth\apiFile.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 3, 40
"d:\GitHub\ThaiEggHead\client\src\auth\apiImgUser.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 4, 20
"d:\GitHub\ThaiEggHead\client\src\auth\styles.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\GitHub\ThaiEggHead\client\src\auth\styles.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\GitHub\ThaiEggHead\client\src\components\Answer.js", "JavaScript", 489, 0, 0, 0, 0, 0, 0, 34, 61, 584
"d:\GitHub\ThaiEggHead\client\src\components\CreateForumCard.js", "JavaScript", 356, 0, 0, 0, 0, 0, 0, 27, 35, 418
"d:\GitHub\ThaiEggHead\client\src\components\ForumCard.js", "JavaScript", 370, 0, 0, 0, 0, 0, 0, 3, 33, 406
"d:\GitHub\ThaiEggHead\client\src\components\LeaderBoard.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 6, 6, 64
